id,stem,terms,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none,total
2443,Cirujano,surgeons surgeon,0,0,4,6,0,0,0,0,0,0,2,12
2444,surgeri,surgery,0,0,0,1,0,0,0,0,0,0,0,1
2445,Folleto,handouts handout,0,0,0,0,0,0,0,0,0,0,2,2
2446,Sombra,shades shade,0,0,1,0,0,0,0,0,0,0,0,1
2447,Tsunami,tsunami,0,0,0,1,0,0,0,0,0,0,1,2
2448,Huir,fleeing flee,0,1,0,1,1,0,0,0,0,0,0,3
2449,Ceas,ceases ceased ceasing cease,1,0,0,0,0,0,0,1,0,0,0,2
2450,Humo,smoke smoking,0,0,0,1,2,3,0,0,0,0,3,9
2451,Bufón,buffoons buffoon,0,0,0,0,0,0,0,0,0,0,1,1
2452,Sincero,candidates candid candidate,1,0,8,0,0,0,0,1,0,0,2,12
2453,Aislacionista,isolationist,0,0,0,0,1,0,0,0,0,0,0,1
2454,Corteza,bark barking,0,0,0,0,0,0,0,0,0,0,1,1
2455,updat,updated updates update updating,6,1,0,1,1,0,0,1,4,0,4,18
2456,Nomin,nominated nominal nominally nominate nomination,0,1,0,0,0,0,0,1,0,0,0,2
2457,Dole,dole,0,0,0,0,0,0,0,0,0,0,3,3
2458,Cordero,lamb,0,0,0,0,0,0,0,0,0,0,1,1
2459,ConFlat,conflate conflating conflated,0,0,0,0,0,0,0,0,0,0,1,1
2460,Regla,ruler rulers,0,0,1,0,0,0,0,0,0,0,0,1
2461,Cuarto,fourth fourths,0,0,1,0,0,0,0,0,0,0,0,1
2462,Continente,continentals continental,0,0,0,0,0,0,0,0,0,0,2,2
2463,anecdoto,anecdote anecdotal anecdotally anecdotes,0,0,0,0,0,0,0,0,0,0,1,1
2464,Viaje,trip tripped tripping trips,0,1,0,0,0,0,0,0,0,0,2,3
2465,Habitante,dweller dwellers,0,2,0,0,0,0,0,1,0,0,2,5
2466,Patriota,patriotism patriot patriots patriotic patriotically,0,2,7,0,0,0,0,1,0,0,2,12
2467,nineti,nineties,0,0,0,0,0,0,0,0,0,0,4,4
2468,Siete,seven,0,0,0,0,0,0,0,1,2,1,7,11
2469,notori,notorious notoriously,0,1,0,0,0,0,0,0,0,0,0,1
2470,Zapato,shoe shoes,0,0,0,0,0,0,0,0,0,0,2,2
2471,Repentino,sudden,0,0,0,0,0,1,0,0,0,0,2,3
2472,Destrucción,destruction destructiveness destructive destruct,0,0,0,0,0,0,1,0,0,0,1,2
2473,Villag,village villages,0,0,0,0,0,0,0,0,0,0,1,1
2474,Primo,cousin cousins,0,4,2,1,0,0,0,1,1,0,2,11
2475,Confesar,confess,0,0,1,0,0,0,0,0,0,0,0,1
2476,prematur,premature prematurely,0,1,0,1,0,0,0,0,0,0,2,4
2477,Dibujó,drew,0,1,0,0,0,0,0,0,0,0,2,3
2478,de principio a fin,throughout,0,0,0,0,0,0,0,0,0,0,1,1
2479,Parte inferior,bottom,0,0,0,1,0,0,0,0,0,0,0,1
2480,increasingli,increasingly,1,1,0,0,0,0,0,0,3,0,6,11
2481,Peski,pesky,0,1,0,0,0,0,1,0,0,0,0,2
2482,CLARIF,clarification,2,0,3,0,0,0,0,0,0,0,0,5
2483,Conservar,retain retained retaining retains,0,0,0,0,0,0,0,0,0,0,1,1
2484,ProVoc,provocative provocations provocation,0,1,0,1,0,0,1,0,0,0,0,3
2485,p,theatres theatre,0,3,0,0,0,0,0,0,0,0,0,3
2486,oque,execution executions executives execute executive executed executing,0,1,0,0,0,0,0,0,0,0,2,3
2487,inaugur,inaugural inauguration,3,2,0,0,0,0,0,0,3,0,3,11
2488,Marca,marked marking mark marks markings,0,0,0,0,0,0,0,0,0,0,1,1
2489,Congreso,congress,0,0,0,0,0,0,0,0,0,0,1,1
2490,Globalista,globalists globalist,0,0,0,0,0,0,0,0,0,0,2,2
2491,Analista,analysts analyst,0,1,2,0,0,0,0,0,0,0,0,3
2492,Alinee,align aligning aligned alignment aligns,0,0,1,0,0,0,0,0,0,0,0,1
2493,Métricas,metrics metric,0,0,1,0,0,0,0,0,0,0,0,1
2494,Traslapo,overlaps overlap overlapping,0,1,0,0,0,0,1,0,0,0,1,3
2495,humbl,humble humbles humbly,0,0,0,0,0,0,0,0,0,0,1,1
2496,Húmedo,moist,0,0,0,0,0,0,0,0,0,0,2,2
2497,Limpia,cleanse cleansing cleansed,1,3,0,0,0,0,0,0,3,1,1,9
2498,Soldado,soldiers soldiering soldier,0,0,5,3,1,0,1,0,0,0,2,12
2499,Violación,rapes raped rape raping,0,0,0,1,0,1,0,0,0,0,1,3
2500,Desprovisto,devoid,0,0,0,0,0,0,0,0,0,0,2,2
2501,Espuma,froth frothing,0,3,0,0,0,1,0,1,0,0,6,11
2502,Algún día,someday,0,0,0,0,0,0,0,0,0,0,1,1
2503,delus,delusions delusion,0,1,0,0,0,0,0,0,0,0,1,2
2504,Fruta,fruit fruitful,0,4,0,0,0,0,0,0,1,2,2,9
2505,Improvisación,improvement improves improvements improving improved improve,1,8,1,1,0,0,0,0,6,0,1,18
2506,Baklava,baklava,0,3,0,1,0,0,0,0,0,0,1,5
2507,Jelli,jelly,0,1,0,0,0,0,0,0,0,0,2,3
2508,Terror,terrorism terror terrorize terrorized,0,0,0,2,0,0,0,0,0,0,1,3
2509,Ultimátum,ultimatum,0,0,0,1,0,0,0,0,0,0,3,4
2510,Escal,escalate escalating escalations escalated escalation escalates,0,4,0,4,0,0,1,1,1,0,1,12
2511,Adecuada,proper,0,2,1,1,0,0,0,0,4,1,1,10
2512,investig droga,investigates investigating investigation investigative investigated investigations investigators investigate,1,0,0,0,0,0,0,0,0,0,0,1
2513,archduk,archduke,0,0,0,0,0,0,0,0,0,0,2,2
2514,Pretexto,pretext,1,0,0,0,0,0,0,0,0,0,0,1
2515,Asesinato,murder murderers murdered murders murderer murdering murderous,0,0,0,1,0,0,0,0,0,0,0,1
2516,promoc,promotes promotional promoters promoted promoter promotion promoting promote,0,0,0,0,1,0,0,0,0,0,0,1
2517,Lanzamiento,launching launch launched,0,0,0,0,0,0,1,0,0,0,0,1
2518,Bahía,bay,0,0,0,0,0,0,0,0,0,0,1,1
2519,orchestr,orchestrated orchestrates,0,1,0,1,0,0,0,0,0,0,0,2
2520,contra,contra,0,0,0,0,0,0,0,0,0,0,1,1
2521,Embajador,ambassador ambassadors,0,1,0,1,0,0,0,0,0,0,1,3
2522,Pathet,pathetic pathetically,0,0,0,0,2,0,0,0,0,0,1,3
2523,eagerli,eagerly,0,2,0,0,0,0,0,0,0,0,0,2
2524,Esperan,awaits await awaiting awaited,0,0,0,0,0,0,0,0,0,0,1,1
2525,contradictori,contradictory,0,0,0,0,1,0,0,0,0,0,1,2
2526,Arancelarias,tariffs tariff,1,0,0,0,0,0,0,0,0,0,1,2
2527,Reducir,curtail curtailed curtails,0,0,0,0,0,0,0,0,0,0,1,1
2528,Enfrentar,confront confronted confronting confrontational,1,0,0,0,0,0,3,0,0,0,5,9
2529,arbusto,bushes bush,0,0,0,0,0,0,0,0,0,0,1,1
2530,Peligro,dangerously dangerous danger dangers,0,0,0,4,0,0,0,0,0,0,0,4
2531,Áspero,roughing rough,1,0,0,1,0,0,0,0,0,0,1,3
2532,trébol,gauging gauge,1,0,0,0,0,0,0,0,0,0,2,3
2533,releas,release releasing releases released,2,1,0,0,0,0,0,0,0,0,7,10
2534,budgetari,budgetary,0,0,0,0,0,0,0,0,0,0,2,2
2535,Últimos,latest,3,4,0,0,0,1,0,0,0,0,2,10
2536,Híbrido,hybridization hybrid,0,1,0,0,0,0,1,0,0,0,1,3
2537,Falso,faking faked fake,0,1,0,0,0,0,0,0,0,0,2,3
2538,categori,category categories,0,0,0,0,0,0,0,0,0,0,1,1
2539,worldwid,worldwide,0,1,0,0,0,1,0,0,0,0,0,2
2540,Ganar,earned earn earns earnings earning,0,0,0,0,0,0,0,0,0,0,2,2
2541,pozo negro,cesspit,0,0,0,1,0,0,0,0,0,0,1,2
2542,Cosmopolita,cosmopolitan cosmopolitans cosmopolitanism,0,0,0,0,0,0,0,0,0,0,2,2
2543,Mallorca,segregate segregated segregation,0,0,0,0,1,0,0,0,0,0,0,1
2544,Herida,wound wounded wounding wounds,0,0,0,0,9,0,0,0,0,0,0,9
2545,Bombardee,bombard bombarded,0,0,0,1,0,0,0,0,0,0,0,1
2546,Suave,mild,0,0,0,0,0,0,0,0,0,0,3,3
2547,Tensión,tensions tension,0,0,0,0,2,0,0,0,0,0,1,3
2548,Holocausto,holocaust,0,0,0,1,0,0,0,0,0,0,2,3
2549,ocupante,occupier occupied occupies occupiers occupy occupying,0,1,0,0,0,0,1,0,0,0,0,2
2550,Negro,blacks black,0,0,0,0,0,0,0,0,0,0,1,1
2551,regim,regimes regime,0,1,0,0,0,0,1,0,0,0,1,3
2552,cautiva,engagement engagements engages engage engaged engaging,0,1,0,0,0,0,0,0,0,0,1,2
2553,Niño,child,0,0,0,0,0,0,0,0,0,0,2,2
2554,Cuna,crib,4,6,0,0,0,0,0,0,0,0,2,12
2555,Traje,suiting suits suited suit,0,1,0,0,0,0,0,0,0,0,1,2
2556,CUBI,uncovered uncover,0,1,0,0,0,0,0,1,0,0,0,2
2557,Heredero,heir heirs,0,0,0,0,0,0,0,0,0,0,1,1
2558,Tren,trained trains training train,0,2,0,0,0,0,0,0,0,0,1,3
2559,suppli,supplying supply supplies supplied,0,0,0,0,0,0,1,0,0,0,1,2
2560,inocen,innocent innocence,0,0,2,0,0,0,0,0,0,0,0,2
2561,eXpertis,expertise,0,1,0,0,0,0,0,0,0,0,0,1
2562,Doblar,bend bending bends,1,0,0,0,0,0,0,0,0,0,2,3
2563,Creación,creations creation,0,2,0,0,0,0,0,1,0,0,0,3
2564,Combate,combatants combating combats combat,0,0,0,0,0,0,0,0,0,0,1,1
2565,roubl,rouble,0,0,0,0,0,0,0,0,0,0,1,1
2566,Capa,layer layers,0,0,0,0,0,0,0,0,0,0,1,1
2567,Ralli,rallies rallied rallying rally,0,0,0,0,0,0,0,0,0,0,1,1
2568,Otoño,autumn,0,0,0,0,1,0,0,0,0,0,1,2
2569,Bosque,forests forest,0,1,0,0,0,0,0,1,1,0,8,11
2570,Liderazgo,leadership,0,1,1,0,0,0,0,0,0,0,0,2
2571,Zoológico,zoo,0,0,0,0,0,0,0,0,0,0,1,1
2572,Enseñar,teaching teach teaches,0,1,0,1,0,0,0,0,0,0,0,2
2573,Huyó,fled,0,0,0,0,0,0,0,0,0,0,2,2
2574,showcas,showcase,0,1,0,0,0,0,0,0,0,0,0,1
2575,admir,admires admiral admirers admirer admirals admired admirable admire admiration,0,0,0,0,0,0,0,0,0,0,1,1
2576,Injusto,unfair,0,0,0,0,2,0,1,0,0,0,0,3
2577,Golpear,knock knocked knocking knocks,0,0,0,0,0,0,1,0,0,0,1,2
2578,Dientes,teeth,0,0,0,0,0,0,0,0,0,0,2,2
2579,Médico,medical medication,0,1,0,0,0,0,0,0,0,0,1,2
2580,Personal,staff staffs,0,0,1,0,0,0,0,0,0,0,0,1
2581,Derrocar,overthrow overthrowing,0,0,0,0,0,0,0,0,0,0,1,1
2582,Aha,aha,0,1,0,0,1,0,0,1,0,0,8,11
2583,Appl,apples apple,0,1,0,0,0,0,0,0,0,0,1,2
2584,Orang,orange oranges,0,8,0,0,0,0,0,0,0,0,2,10
2585,enslav,enslaved enslavement enslaving,0,0,0,0,0,0,0,0,0,0,4,4
2586,violat,violating violator violated violations violates violate violation,0,0,0,0,0,0,0,0,0,0,1,1
2587,Muñeca,dolls doll,0,2,0,0,0,0,0,1,0,0,0,3
2588,Barba,bearded beard,0,0,2,0,0,1,0,2,0,0,0,5
2589,Voló,flew,0,1,0,0,0,0,0,0,0,0,0,1
2590,Bombardero,bombers bomber,0,0,0,5,0,0,1,0,0,0,3,9
2591,Sequía,drought,0,0,0,0,0,0,0,0,0,0,2,2
2592,Experiencia,experiencing experienced,0,0,0,0,0,0,0,0,0,0,2,2
2593,Ambiente,environmental environmentally,0,3,0,0,0,0,0,0,0,0,0,3
2594,Cabildero,lobbyist lobbyists,0,0,0,0,0,0,1,0,0,0,2,3
2595,omnisci,omniscient,0,0,0,0,0,0,0,0,0,0,2,2
2596,Golpeador,kicker,0,0,0,0,0,0,2,0,0,0,0,2
2597,Advis,advisable advising adviser advise advisers advised,0,1,0,0,0,0,0,0,0,0,1,2
2598,inconceiv,inconceivable,0,0,0,0,4,0,0,5,2,3,2,16
2599,infam,infamously infamous,0,0,0,0,3,0,0,0,0,0,0,3
2600,Contratista,contractors,0,0,0,0,0,0,0,0,0,0,2,2
2601,Sue,sues sue,0,0,0,0,0,0,0,0,0,0,1,1
2602,Virgen,virgins virgin,0,0,0,0,0,0,0,0,0,0,1,1
2603,Cuota,quota quotas,0,0,2,0,1,1,0,0,0,0,0,4
2604,Vice,vices vice,0,1,0,0,0,0,0,0,0,0,0,1
2605,geopolit,geopolitics geopolitically geopolitical,1,0,5,0,0,1,0,0,0,0,5,12
2606,Ocultar,concealed conceal,0,0,0,0,0,0,0,0,0,0,2,2
2607,tambor,evacuated,0,0,0,1,0,0,0,0,0,0,0,1
2608,reconcilili,reconciliation,0,1,0,0,0,0,0,0,0,0,0,1
2609,justifi,justifiably justifier justifiable justify justified justifying justifies,0,2,0,0,0,0,0,0,0,0,1,3
2610,Obedi,obediently obedient obedience,1,0,0,0,0,0,0,0,0,0,2,3
2611,militarili,militarily,1,4,2,0,0,0,1,0,0,0,0,8
2612,Roto,broken,0,0,0,0,0,0,0,0,0,0,1,1
2613,Reconstruido,rebuilt,0,2,0,0,0,0,0,0,0,0,0,2
2614,Martin,martin martins,0,0,0,0,0,0,0,0,0,0,1,1
2615,Conducta,conducted conducting conductive conduct conducts,0,0,1,0,0,0,0,0,0,0,8,9
2616,Trinchera,trench,0,0,0,0,0,0,0,0,0,0,1,1
2617,Warfar,warfare,0,0,0,0,0,0,1,0,0,0,3,4
2618,Daño,harms harm harming harmful harmed,0,0,0,0,1,0,0,0,0,0,0,1
2619,overcom,overcome,0,3,1,0,0,0,0,0,0,0,0,4
2620,Ligera,slight slights,0,0,0,0,0,0,0,0,0,0,1,1
2621,Desconocido,unknown unknowns,1,0,0,6,0,0,0,0,0,0,3,10
2622,Abierto,outspoken,0,0,0,2,0,0,0,0,0,0,0,2
2623,Desproteger,unguarded,0,0,0,0,0,0,0,0,0,0,1,1
2624,Patrulla,patrolling patrols patrol,0,0,0,0,0,0,0,0,0,0,1,1
2625,Dirigir,trafficking traffickers,0,0,0,0,0,0,0,0,0,0,1,1
2626,Podrido,rotten,0,0,0,0,0,0,0,0,0,0,2,2
2627,Desaparecer,vanish vanished vanishing,0,0,0,3,1,0,1,1,0,0,5,11
2628,Martirio,martyrdom,0,0,0,0,2,0,2,0,0,0,0,4
2629,Rápido,fastest,0,2,0,0,0,0,0,1,6,0,0,9
2630,Gimnasta,gymnastics,0,0,0,0,0,0,0,0,0,0,2,2
2631,Gallow,gallows,0,0,0,1,0,0,0,0,0,0,0,1
2632,Amarillo,yellow,0,0,0,0,0,0,0,0,0,0,1,1
2633,Caído,fallen,0,1,0,0,0,0,1,0,0,0,2,4
2634,Inútil,useless uselessness,0,0,0,0,0,0,0,0,0,0,1,1
2635,intervencio,intervening intervene intervened intervenes,0,0,0,0,0,0,0,0,0,0,1,1
2636,grudg,grudge grudges,0,0,0,0,0,0,1,0,0,0,1,2
2637,Espejo,mirroring mirrors mirror mirrored,0,1,1,0,0,0,0,2,0,0,0,4
2638,Implementar,deployed deploying deployments deployment deploy,0,0,0,1,0,0,1,0,0,0,0,2
2639,Absoluta,outright,0,1,1,0,0,0,0,3,0,0,0,5
2640,Peter,peter,0,0,0,0,0,0,0,0,0,0,1,1
2641,Nurtur,nurtured nurture,0,0,0,0,0,0,0,0,0,0,1,1
2642,Crecido,grown,0,0,0,0,0,0,0,0,0,0,1,1
2643,Garganta,throat throats,0,0,0,0,0,0,0,0,0,0,1,1
2644,predisposición,biased biases,0,0,0,0,0,0,0,0,0,0,1,1
2645,Historiador,historians historian,0,0,1,0,0,0,0,1,0,0,0,2
2646,Parcial,partial partially,0,0,0,0,0,0,0,0,0,0,2,2
2647,Compensan,outweighed outweighs outweigh,0,0,0,0,1,0,0,1,0,0,0,2
2648,espectacular,unspectacular,0,1,0,0,0,0,0,0,0,0,2,3
2649,Grado,extents extent,0,0,0,0,0,0,0,1,0,0,0,1
2650,Mike,mike,0,2,0,0,0,0,0,1,1,1,13,18
2651,PENC,pence,0,1,0,0,0,0,0,0,0,0,1,2
2652,Jut,jut,0,0,0,0,0,0,0,0,0,0,2,2
2653,Cariño,honey,0,1,0,0,0,0,0,0,0,0,2,3
2654,Leche,milk,0,0,0,0,0,0,0,0,0,0,3,3
2655,Hombro,shoulders shoulder,0,0,1,0,0,0,0,0,0,0,1,2
2656,Fraude,frauds fraud,0,0,0,0,0,1,0,0,0,0,2,3
2657,circul,circulating circulation circulated,0,1,1,0,0,0,0,0,0,0,0,2
2658,Prohibición,ban banning bans banned,0,0,0,0,0,0,0,0,0,0,2,2
2659,Robo,theft,0,0,0,1,0,0,1,0,0,0,1,3
2660,signatori,signatories signatory,1,0,8,0,0,0,0,0,0,0,3,12
2661,procrastin,procrastinate procrastinating,0,1,0,0,0,0,1,0,0,0,0,2
2662,ratif,ratification,0,0,0,0,0,0,0,0,0,0,1,1
2663,ReSTOR,restore restoring restoration restored restorations,0,3,0,0,0,0,0,0,0,0,0,3
2664,Pago,payment payments,1,0,0,0,1,0,0,0,0,0,1,3
2665,Terrón,lumped lumping lump,1,0,0,0,0,0,0,0,0,0,1,2
2666,Bloque,blocs bloc,0,1,0,0,0,0,0,0,0,0,2,3
2667,INQUE,indefinite indefinitely,0,0,0,0,0,0,0,0,0,0,1,1
2668,collabor,collaborators collaborated collaborating collaborate collaboration,0,0,0,0,0,0,0,0,0,0,2,2
2669,Tropa,troops troop,0,0,1,0,0,0,0,0,0,0,1,2
2670,Sub,substantially substantial substantiated substantiate,4,2,0,0,0,0,0,0,6,2,4,18
2671,jurisdiccionales,jurisdictions jurisdiction,0,0,0,1,0,0,0,0,2,1,4,8
2672,Sesión,sessions session,0,0,0,0,0,1,0,0,0,0,0,1
2673,Tre,feature featuring featured features,0,0,0,0,1,0,0,0,0,0,1,2
2674,Respiración,breath breathe breaths breathing,0,0,0,0,0,0,1,0,0,0,1,2
2675,Tranquila,quieter,0,1,0,0,0,0,0,0,0,0,0,1
2676,Comportamiento,behaviours behaviour,0,0,0,0,0,0,0,0,0,0,2,2
2677,Agit,agitating agitators agitated,1,0,0,0,0,0,0,0,0,0,0,1
2678,Habitan,inhabit inhabited inhabitants inhabitant inhabiting inhabits,0,0,0,0,0,0,0,0,0,0,1,1
2679,Pupila,pupils pupil,0,4,0,0,1,0,0,0,3,1,8,17
2680,Artista,artist artistic artists,0,1,0,0,0,0,0,0,0,0,2,3
2681,Perman,permanent permanently,0,1,3,0,1,0,0,0,2,1,1,9
2682,Hash,hashing hashed hashes hash,0,0,0,0,0,0,0,0,0,0,1,1
2683,Marco de referencia,frameworks framework,0,0,0,0,0,0,0,0,0,0,2,2
2684,comprehens,comprehensively comprehensible comprehensibly comprehensive comprehension,0,0,2,0,0,0,0,0,0,0,0,2
2685,Guaridas,dense densely,0,1,1,3,0,1,0,0,1,0,4,11
2686,somewher,somewhere,0,0,0,0,0,0,0,0,0,0,2,2
2687,intra,intra,0,0,0,0,0,0,0,0,0,0,2,2
2688,Teléfono,phone phones,0,0,0,0,0,0,0,1,0,0,1,2
2689,Reciproc,reciprocal reciprocally reciprocating reciprocity reciprocated reciprocate reciprocation,0,1,0,0,0,0,0,0,0,0,1,2
2690,Imbal,imbalances imbalance,0,0,0,0,0,0,0,0,0,0,1,1
2691,Facto,facto,0,0,0,0,0,0,1,0,0,0,0,1
2692,subsidi,subsidies subsidy,0,0,0,0,0,0,0,1,0,0,1,2
2693,Manta,blanket,0,0,0,0,0,0,0,0,0,0,1,1
2694,Cinta,taped tape,0,0,0,0,0,0,0,0,0,0,9,9
2695,Fring,fringed fringes fringe,3,0,0,0,0,0,0,1,0,0,5,9
2696,imageri,imagery,0,0,0,0,0,0,0,0,0,0,3,3
2697,Construido,built,0,1,0,0,0,0,0,0,0,0,0,1
2698,precari,precarious,0,1,0,0,0,0,0,0,0,0,1,2
2699,encontróen,foundation foundations foundational,0,0,3,0,0,0,0,0,3,1,2,9
2700,shoddili,shoddily,0,0,0,0,0,0,0,0,0,0,3,3
2701,Ajustar,adjustments adjusted adjust adjustment adjustable adjusting adjusts,0,0,1,0,0,0,0,0,0,0,0,1
2702,unskil,unskilled,0,0,0,0,1,0,0,0,0,0,0,1
2703,Soltero,bachelors bachelor,0,0,0,0,1,0,0,0,0,0,0,1
2704,ideolog,ideologies ideologically ideology ideological,0,1,0,0,0,0,0,0,0,0,1,2
2705,Aproximadamente,approx,0,0,0,0,0,0,0,0,0,0,2,2
2706,Anual,annual annually,3,2,0,1,0,0,0,0,4,0,2,12
2707,CONCESS,concessions concession,0,2,1,0,3,0,0,0,0,0,5,11
2708,Kiwi,kiwi kiwis,0,2,0,0,0,0,0,0,0,0,6,8
2709,transpos,transposing,1,0,0,0,0,0,0,0,0,0,0,1
2710,publicli,publicly,0,0,0,0,0,0,0,1,0,0,0,1
2711,prioritis,prioritise prioritised prioritises prioritising,1,2,0,0,0,0,0,0,0,0,1,4
2712,Colaborador,contributors contributor,0,1,1,0,0,0,0,0,0,0,0,2
2713,taxpay,taxpayers taxpayer,0,0,0,0,0,1,0,1,0,0,0,2
2714,Beneficio,profits profiteering profit profiteers profitable profiting profitability profited,1,7,0,0,0,2,0,0,3,0,4,17
2715,voluntarili,voluntarily,0,0,0,0,0,0,0,0,0,0,1,1
2716,WORKABL,workable,0,2,0,0,0,0,0,0,0,0,0,2
2717,burocraci,bureaucracies bureaucracy,0,0,1,0,0,0,1,0,0,0,0,2
2718,properli,properly,0,0,0,0,0,0,0,0,0,0,2,2
2719,no preced,unprecedented,0,0,0,0,0,0,0,0,0,0,1,1
2720,Táctica,tactically tactic tactical tactics,0,0,2,0,0,0,0,0,0,0,0,2
2721,Op,ops op,0,0,0,0,0,0,0,1,0,0,1,2
2722,sarcast,sarcastic sarcastically,0,0,0,0,0,0,1,0,0,0,1,2
2723,Latido,heartbeat,0,5,1,2,0,0,0,1,1,0,2,12
2724,Goma,rubber,0,0,0,0,0,0,0,0,0,0,3,3
2725,Sello,stamping stamp stamps,0,1,0,0,0,0,0,0,0,0,0,1
2726,disput,disputing disputed disputable dispute disputes,0,0,0,0,0,0,0,0,0,0,2,2
2727,Solv,solving solves solve solved,0,1,0,0,0,0,0,0,0,0,1,2
2728,rata de nacimiento,birthrates birthrate,0,0,0,0,0,0,0,0,0,0,2,2
2729,empresas,enterprises enterprising enterprise,0,0,0,0,0,0,0,0,0,0,1,1
2730,desabessli,selflessly,0,0,1,0,0,0,0,0,0,0,0,1
2731,Deducir,deductibles deducted deduction,0,0,0,0,0,0,0,0,0,0,2,2
2732,Pop,popping pops pop popped,1,0,0,1,0,1,0,6,1,0,2,12
2733,Máximo,maximum,0,0,0,0,0,0,0,1,6,0,2,9
2734,Claus,clauses clause,0,0,1,0,0,0,1,0,0,0,0,2
2735,Más barato,cheaper,0,0,0,0,0,0,0,0,0,0,1,1
2736,arbitrari,arbitrary,0,0,0,0,0,2,0,0,0,0,2,4
2737,presum,presumable presumably presumes presume presumed presuming,2,0,1,0,0,0,0,1,0,0,0,4
2738,Mobil,mobilizes mobility mobilize mobilization mobiles mobilized mobile,1,0,0,0,0,0,0,0,0,0,7,8
2739,workforc,workforces workforce,0,0,1,0,0,0,0,0,0,0,1,2
2740,Rico,richest,0,1,0,0,0,0,0,0,0,0,0,1
2741,Cargada,fraught,0,0,0,0,0,0,0,0,0,0,1,1
2742,wealthi,wealthy,0,4,0,0,0,0,0,0,0,0,0,4
2743,flexibl,flexibility flexible,0,1,0,0,0,0,0,0,0,0,0,1
2744,Virtual,virtually virtual,0,2,0,0,0,0,0,3,0,0,0,5
2745,Proceder,proceedings proceed proceeding,1,0,0,0,0,0,0,0,0,0,0,1
2746,therebi,thereby,0,0,0,0,0,0,0,0,0,0,1,1
2747,dummi,dummy dummies,0,1,0,0,0,0,0,0,0,0,0,1
2748,Obedecer,obeyed obey obeying obeys,0,0,0,0,0,0,0,0,0,0,1,1
2749,underwat,underwater,0,0,0,0,0,0,0,0,0,0,2,2
2750,corros,corrosion,0,0,0,0,0,0,0,0,0,0,1,1
2751,DESTINI,destiny destinies,2,1,0,0,0,0,0,0,0,0,0,3
2752,upbring,upbringing,0,0,0,0,0,1,0,0,0,0,0,1
2753,Comentarios,feedback,0,1,0,0,1,0,0,0,0,0,0,2
2754,Bucle,loop loops,0,0,0,0,0,0,0,0,0,0,2,2
2755,Destin,destined destinations destination,0,0,0,0,0,0,0,0,0,0,1,1
2756,deflat,deflation deflate,0,0,0,1,0,0,0,0,0,0,0,1
2757,properti,properties property,0,1,2,0,0,0,0,0,0,0,1,4
2758,bubbl,bubble bubbling bubbly bubbles,0,1,0,0,0,0,0,0,0,0,2,3
2759,Propietario,owners owner,2,0,3,0,0,0,1,0,3,0,7,16
2760,Propietario,landlords landlord,0,0,0,1,0,0,0,0,0,0,0,1
2761,Sello,seals seal sealed,0,2,4,0,0,0,0,0,0,0,2,8
2762,remot,remotely remote,1,0,1,1,1,0,0,0,0,0,0,4
2763,Rebaño,flock flocks flocking,1,0,0,0,0,0,0,0,0,0,1,2
2764,Menor,youngest,1,7,0,0,1,0,0,1,2,1,5,18
2765,Brillante,brightest,0,2,0,0,0,0,0,0,0,0,1,3
2766,Patria,homeland homelands,0,4,1,1,0,0,0,0,0,0,3,9
2767,Willi,willy,0,0,0,0,1,0,0,0,0,0,1,2
2768,Avión,planing plane planed planes,0,0,0,0,0,0,1,0,0,0,1,2
2769,Rotat,rotating rotated rotate rotation,1,0,0,0,0,0,0,0,0,0,1,2
2770,Jet,jet jetting jets,0,1,0,0,0,0,0,0,0,0,2,3
2771,starv,starved starve starving,0,1,0,0,1,0,0,0,0,0,0,2
2772,Despertado,awoken,0,0,0,0,0,0,0,0,0,0,1,1
2773,elasticidad,stretched stretch stretches stretching,0,0,0,0,0,0,0,0,0,0,1,1
2774,Levi,levied levy levies,0,0,0,0,0,0,0,1,0,0,1,2
2775,gastar,spend spendings spending spends,0,0,0,0,0,0,0,1,0,0,0,1
2776,Condujo,drove droves,1,0,0,0,0,0,0,0,0,0,0,1
2777,intract,intractable,0,0,0,0,0,0,1,0,0,0,2,3
2778,unfashion,unfashionable,0,0,0,0,0,0,0,0,0,0,1,1
2779,Cerdo,pork,0,1,0,0,0,0,0,0,0,0,1,2
2780,Brillo,shining shine,0,2,0,0,0,0,0,0,0,0,1,3
2781,Talento,talent talented talents,0,2,0,1,0,0,0,0,0,0,2,5
2782,d,redistribution redistributing redistributes redistributed redistribute,0,0,0,1,0,0,0,1,0,0,0,2
2783,happili,happily,0,9,0,0,0,0,0,0,0,0,0,9
2784,Desconfianza,mistrust,0,0,0,1,0,0,0,0,0,0,0,1
2785,Fricción,friction,0,0,0,0,0,0,0,0,0,0,2,2
2786,Solución,workarounds workaround,0,0,1,0,0,0,0,1,0,0,1,3
2787,Pluma,feathers,0,2,0,0,0,0,0,0,0,0,1,3
2788,Tirar,tossed toss,0,0,0,0,0,1,0,0,0,0,0,1
2789,Unicornio,unicorns unicorn,0,2,0,0,0,0,0,1,0,0,0,3
2790,Carga,cargo,0,0,0,0,0,0,0,0,0,0,2,2
2791,Extender,extending extended extends extend,1,1,0,0,0,0,0,0,0,0,0,2
2792,Tarea,tasked tasks task,0,1,0,0,0,0,0,0,0,0,1,2
